song,artist,id
Cotton Jenny,Anne Murray,7zSAI7Ae6DPVepN8MksKVZ
Day Tripper,Anne Murray,76Kd9WcnUdfP0ePxRqujGa
It's All I Can Do,Anne Murray,41TpvOhSCOJOHuOUggy9sv
Talk It Over In The Morning,Anne Murray,MISSING
The Call,Anne Murray,19DQhhlWfGtKp6syikHkpN
Things,Anne Murray,3x98txCasQ6MhjsbFhFM6m
What About Me,Anne Murray,4nHFJleVgRTlqlI8WVKen0
Jo-Jo The Dog-Faced Boy,Annette,6wOBmjSRpYKbne1urIgd4i
Lonely Guitar,Annette,7xXtdAsMux1sRom27GP14d
Iesha,Another Bad Creation,2qAqxEV45AAAN60GtFhvW7
Playground,Another Bad Creation,1rJpT4AoSEMTngT6mSZw36
Yellow Hearts,Ant Saunders,4Yuf2iuIC99XKR6MUjnWQT
Charlene,Anthony Hamilton,034zuoXsRkRVW7T4hv4qmu
Do You Mind?,Anthony Newley,7DDeigjVMS98YZMws9PHjl
Pop Goes The Weasel,Anthony Newley,5LIjieDz2qXX0OCegoBmPS
What Kind Of Fool Am I,Anthony Newley,MISSING
KEII,Anuel AA,5eEQCfq7MXQr6aHLNRUZLs
Secreto,Anuel AA & Karol G,0301nLjG0ti26rx5ZmfqtP
Whatever You Like,Anya Marina,MISSING
Gangsta Bitch,Apache,5242G8xCFpKoUkzvvUKYIL
Sweet And Lovely,April Stevens & Nino Tempo,0UP6oy3I8uPNP3dHwavu1A
Enough Is Enough,April Wine,2N6UO8dx5jlTJSZqHXowFy
I Like To Rock,April Wine,5owtIhXEvmWKOIDdAkCEU4
Just Between You And Me,April Wine,643PW82aBMUa1FiWi5VQY7
Roller,April Wine,7ImqLXk9SgUjg6eaWfDU3b
Sign Of The Gypsy Queen,April Wine,1OeKaKxGj6kPT0TRCf6KzC
This Could Be The Right One,April Wine,3PWmpUFpLX6WwrBYHIlUp0
You Could Have Been A Lady,April Wine,27ALo93aptxGsoJv660rK9
Reflektor,Arcade Fire,7uMZy0bALAdneerERyr7Ks
Election Day,Arcadia,5GCnGAsfdWbmuoMRJEah22
A World Without Music,Archie Bell & The Drells,1YHod6ICIZLZcIkbclW9DG
Dancing To Your Music,Archie Bell & The Drells,6CP6aBUvs3QuXLHaxJD5Hj
Wrap It Up,Archie Bell & The Drells,5cvhdQNFd0Wo3o57OEulPD
Do I Wanna Know?,Arctic Monkeys,7xmwLmkoWpghkq8jyEhtbx
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,0AsxTiiDLJ5D9zbquuyh0L
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,0VtGLzXdQOWiR6HZtObspZ
All The Kings Horses,Aretha Franklin,6WpYJJD0d5uh6odnOZigYp
Baby I Love You,Aretha Franklin,4rOJaClBVXUIEbOxKxSJ2y
Break It To Me Gently,Aretha Franklin,4p1iKQR5GdNXgq1Cf8jSRW
Chain Of Fools,Aretha Franklin,6wPCi5uUcrTJwgLW9o8bf1
Come To Me,Aretha Franklin,28Sz6t6wTYwc3uRQJFS9b4
Eleanor Rigby,Aretha Franklin,1s7vUqvJTEOiVDIJoKA5x6
I Can't See Myself Leaving You,Aretha Franklin,4KhAHovuQmhVCAvHsoPIFc
I Say A Little Prayer,Aretha Franklin,3IPzJM73cxVwaeP0uvoXac
Look Into Your Heart,Aretha Franklin,0xxrhZGU9P4YaW1LcUy1OR
Mr. D.J. (5 For The D.J.),Aretha Franklin,7HXY9MJ75r05K1R1UONVBx
My Song,Aretha Franklin,2RwE5drtQ9i0GTtb8XmIoO
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,4HojG5AZO8JmQqeXV2f2kq
Rock Steady,Aretha Franklin,1WVi54n5fPkCJRGHFplhrI
Rock-A-Bye Your Baby With A Dixie Melody,Aretha Franklin,06zOwqnSaPSjs5oGV5k5de
See Saw,Aretha Franklin,1Lb9mLU2ufDvufITGYpnp2
Something He Can Feel,Aretha Franklin,5JxhYdDmvRXSgfDFPPI2Rm
Spanish Harlem,Aretha Franklin,2FcMeGiXCAZzY3guuxJATb
The House That Jack Built,Aretha Franklin,17To47MVIwdEsrcl4a3XzU
The Weight,Aretha Franklin,3Od3St4oAGyxOBmykF4H2G
Tracks Of My Tears,Aretha Franklin,1URlj9dDildvvtjf2Zu6KS
Trouble In Mind,Aretha Franklin,7qlK58Ow0s8zgM2mnQqrRn
Try A Little Tenderness,Aretha Franklin,3tsh4E6y9uGgfx23SBZkJu
United Together,Aretha Franklin,1HmVzYk8FiA9M55ZgwYptt
