genre_id,counts
diy pop punk,152
chinese hip hop,152
swiss indie,151
swedish synth,151
suomirap,151
rap underground mexicano,151
pinoy indie,151
peruvian rock,151
kirtan,151
iskelma,151
focus trance,151
discofox,151
dark black metal,151
cumbia,151
bulgarian pop,151
barnmusik,151
abstract hip hop,151
j-metal,150
indie catala,150
french death metal,150
classic garage rock,150
chillstep,150
brazilian reggae,150
bc underground hip hop,150
a cappella,150
tagalog rap,149
rock kapak,149
korean r&b,149
j-pop girl group,149
indie hip hop,149
hoerspiel,149
early music,149
deep deep tech house,149
celtic punk,149
canadian contemporary r&b,149
australian rock,149
uk pop punk,148
funky house,148
classic soundtrack,148
belgian rock,148
atlanta punk,148
acid techno,148
wave,147
vietnamese hip hop,147
tribal house,147
reading,147
psychill,147
progressive psytrance,147
neo-synthpop,147
kayokyoku,147
j-rap,147
hip hop tuga,147
flamenco,147
experimental pop,147
electro bailando,147
classic persian pop,147
chamber choir,147
boston rock,147
southern gospel,146
fingerstyle,146
ballroom,146
traditional british folk,145
tango,145
old-time,145
norwegian contemporary jazz,145
musica tradicional cubana,145
japanese indie rock,145
gbvfi,145
full on,145
filthstep,145
estonian pop,145
ectofolk,145
classical percussion,145
chicago pop punk,145
black death,145
azeri pop,145
afrikaans,145
21st century classical,145
russian classical piano,144
philly indie,144
musica catalana,144
medieval folk,144
israeli indie,144
intelligent dance music,144
instrumental post-rock,144
german punk,144
bubble trance,144
baroque ensemble,144
zouk,143
stoner metal,143
spanish hip hop,143
scottish indie,143
pixie,143
nashville indie,143
metal gaucho,143
lds,143
hopebeat,143
gypsy jazz,143
french folk pop,143
cubaton,143
classic dubstep,143
christian punk,143
christelijk,143
chicago rap,143
canadian folk,143
ballet class,143
balearic,143
african rock,143
uptempo hardcore,142
thrash core,142
sertanejo tradicional,142
romanian rock,142
riddim,142
power-pop punk,142
neo-trad metal,142
jazz rap,142
industrial,142
hamilton on indie,142
folk punk,142
folk metal,142
drill and bass,142
baroque,142
adoracion,142
trova,141
swedish indie pop,141
string band,141
rhode island indie,141
power pop,141
norteno,141
norske viser,141
mainland chinese pop,141
italian alternative,141
french black metal,141
ecuadorian pop,141
deep comedy,141
czsk hip hop,141
anti-folk,141
timba,140
swedish synthpop,140
sheffield indie,140
progressive black metal,140
latincore,140
jungle,140
indie cordoba,140
halloween,140
deep folk metal,140
classic bollywood,140
welsh indie,139
vapor pop,139
thai idol,139
swedish black metal,139
strut,139
spanish pop rock,139
psychobilly,139
minnesota hip hop,139
marching band,139
kindie rock,139
indonesian folk,139
indietronica,139
idol kayo,139
groove room,139
ethereal wave,139
electro swing,139
conscious hip hop,139
romanian pop,138
persian traditional,138
organic electronic,138
oi,138
german worship,138
early modern classical,138
classic colombian pop,138
canzone napoletana,138
stoner rock,137
southern soul blues,137
soca,137
shibuya-kei,137
punk 'n' roll,137
mexican metal,137
metal catala,137
futurepop,137
ethiopian pop,137
ecuadorian indie,137
drone metal,137
dark techno,137
connecticut indie,137
classic schlager,137
cello,137
aggrotech,137
world fusion,136
ukrainian rock,136
ukhc,136
slap house,136
rif,136
old school thrash,136
musica costena,136
minimal dub,136
deep metalcore,136
colombian rock,136
avant-garde,136
ambient psychill,136
shred,135
reggae en espanol,135
panamanian pop,135
munich indie,135
modern progressive rock,135
hardvapour,135
gothic rock,135
funeral doom,135
classic norwegian pop,135
american choir,135
wind symphony,134
venezuelan rock,134
vaporwave,134
progressive power metal,134
nu age,134
ninja,134
neurofunk,134
musica gaucha tradicionalista,134
italian progressive rock,134
deep contemporary country,134
classic venezuelan pop,134
classic malaysian pop,134
canadian pop,134
breakbeat,134
bedroom pop,134
atmospheric black metal,134
atlanta indie,134
zydeco,133
zouk riddim,133
swedish doom metal,133
south african alternative,133
sound effects,133
rap inde,133
narodna muzika,133
morelos indie,133
moombahton,133
german thrash metal,133
german death metal,133
deep euro house,133
circuit,133
chinese traditional,133
vietnamese pop,132
tex-mex,132
spanish folk,132
rap lyonnais,132
nova musica pernambucana,132
northern irish indie,132
italian disco,132
euphoric hardstyle,132
deep smooth r&b,132
congolese gospel,132
classical organ,132
classic israeli pop,132
blackgaze,132
blackened hardcore,132
bboy,132
armenian pop,132
alternative roots rock,132
underground power pop,131
texas punk,131
sound,131
rap maroc,131
pittsburgh indie,131
musica infantil,131
mathcore,131
italian tenor,131
glitch hop,131
freakbeat,131
drumfunk,131
deep ccm,131
czech folk,131
asbury park indie,131
peruvian punk,130
new orleans jazz,130
modular synth,130
lo-fi,130
kent indie,130
indonesian worship,130
finnish doom metal,130
crust punk,130
classical flute,130
christian indie,130
bachata,130
olympia wa indie,129
guadalajara indie,129
greek indie,129
ghazal,129
french worship,129
etherpop,129
classic pakistani pop,129
chinese viral pop,129
australian dance,129
tennessee metal,128
mollywood,128
mexican rock-and-roll,128
metal tico,128
levenslied,128
emo punk,128
dallas indie,128
cyberpunk,128
crossover prog,128
classic hungarian pop,128
chicago indie,128
american modern classical,128
yugoslav rock,127
operatic pop,127
norwegian metal,127
makossa,127
louvor,127
japanese vgm,127
industrial rock,127
indie platense,127
guitar case,127
german classical piano,127
garage punk,127
coverchill,127
australian underground hip hop,127
swedish hard rock,126
stl indie,126
south african house,126
sevdah,126
psychedelic blues-rock,126
post-grunge,126
manele,126
liedermacher,126
irish metal,126
grand rapids indie,126
dark cabaret,126
danseband,126
chicago blues,126
brazilian thrash metal,126
brass ensemble,126
blasmusik,126
argentine metal,126
american shoegaze,126
spanish new wave,125
sacramento indie,125
progressive trance house,125
pop lgbtq+ brasileira,125
nepali pop,125
neo-psicodelia brasileira,125
musica cearense,125
modern uplift,125
mexican pop,125
japanese classical performance,125
israeli pop,125
grunge pop,125
gothenburg metal,125
free improvisation,125
folkmusik,125
fast melodic punk,125
ethnotronica,125
deep disco,125
classic sinhala pop,125
choro,125
canadian electronic,125
atmospheric doom,125
armenian folk,125
afrobeat,125
virginia metal,124
tape club,124
red dirt,124
rai,124
progressive jazz fusion,124
post-punk mexicano,124
neo-pagan,124
musica andina,124
modern funk,124
malay rap,124
lo star,124
latin arena pop,124
jazz piano,124
italian pop,124
horrorcore,124
experimental ambient,124
deep psychobilly,124
deep indie singer-songwriter,124
cryptic black metal,124
classic danish pop,124
chaotic hardcore,124
chamame,124
brega funk,124
nova musica maranhense,123
deep disco house,123
country quebecois,123
classic praise,123
classic portuguese pop,123
charlotte nc indie,123
beatdown,123
atlanta metal,123
alberta hip hop,123
adelaide indie,123
ska revival,122
pornogrind,122
pop quebecois,122
polish black metal,122
nyhc,122
noise rock,122
neo-industrial rock,122
modern free jazz,122
khaliji,122
hindustani classical,122
german singer-songwriter,122
german romanticism,122
forro tradicional,122
football,122
folk-pop,122
deep soul house,122
danish indie,122
classic finnish rock,122
brutal deathcore,122
atmospheric post-rock,122
rosary,121
riot grrrl,121
gothic americana,121
deep new wave,121
deep funk ostentacao,121
college a cappella,121
banda,121
american contemporary classical,121
adventista,121
thai hip hop,120
shanty,120
post-romantic era,120
portuguese rock,120
new england americana,120
mexican son,120
melodic black metal,120
jangle rock,120
indie pop rap,120
grim death metal,120
euskal musica,120
dutch drill,120
deep ambient,120
commons,120
belgian hip hop,120
appalachian folk,120
action rock,120
trap argentino,119
swedish reggae,119
swedish indie rock,119
soul flow,119
rap df,119
persian alternative,119
orthodox chant,119
irish rock,119
indie deutschrap,119
icelandic indie,119
funk paulista,119
finnish jazz,119
christian hardcore,119
bergen indie,119
bay area indie,119
ambeat,119
theme,118
svensk lovsang,118
rock catala,118
rap cristao,118
psalmen,118
portuguese indie,118
neo soul-jazz,118
musique pour enfants,118
indie veneto,118
harmonica blues,118
grindcore,118
german ccm,118
electric bass,118
dansband,118
classical mezzo-soprano,118
belly dance,118
uk experimental electronic,117
traditional ska,117
swedish death metal,117
singer-songwriter,117
rap metalcore,117
post-post-hardcore,117
phoenix indie,117
pagan black metal,117
math pop,117
lo-fi indie,117
leeds indie,117
lebanese pop,117
israeli metal,117
grisly death metal,117
freestyle,117
experimental hip hop,117
deep uplifting trance,117
dc indie,117
c86,117
bulgarian rock,117
british experimental,117
brazilian modern jazz,117
batak,117
balkan brass,117
anime rock,117
abstract idm,117
twee pop,116
technical brutal death metal,116
swedish techno,116
space age pop,116
south african gospel,116
schweizer rap,116
russian trap,116
rave funk,116
progressive doom,116
power thrash,116
oshare kei,116
nu skool breaks,116
north carolina metal,116
musica costarricense,116
modern performance,116
metal mineiro,116
london rap,116
galician folk,116
electrofox,116
dutch house,116
dungeon synth,116
dub techno,116
deep minimal techno,116
classical oboe,116
chill-out trance,116
chanson quebecois,116
british blues,116
bangla,116
american metalcore,116
vienna indie,115
swamp pop,115
slow game,115
sci-fi metal,115
russian metal,115
piano rock,115
norwegian hip hop,115
nasheed,115
modern enka,115
hamburg electronic,115
gospel rap,115
electro latino,115
dirty texas rap,115
deep idm,115
dark ambient,115
columbus ohio indie,115
christmas instrumental,115
chilena,115
british folk,115
baton rouge rap,115
arab folk,115
white noise,114
scottish folk,114
ragga jungle,114
post-black metal,114
polish punk,114
orebro indie,114
noise,114
nashville hip hop,114
musica per bambini,114
latvian pop,114
irish hip hop,114
instrumental funk,114
indie fuzzpop,114
hammond organ,114
deep latin jazz,114
classic opm,114
chinese drama ost,114
british black metal,114
brazilian punk,114
autonomous black metal,114
vintage tango,113
trap chileno,113
surf music,113
progressive thrash,113
piano cover,113
musica brasiliense,113
melodic progressive metal,113
klezmer,113
kabarett,113
jazz trombone,113
indie tico,113
happy hardcore,113
deep acoustic pop,113
deathrock,113
british soundtrack,113
blaskapelle,113
bass trip,113
assamese pop,113
zillertal,112
tollywood,112
swing revival,112
singaporean pop,112
rock tico,112
rochester ny indie,112
rare groove,112
rap montrealais,112
png pop,112
norteno-sax,112
minimal wave,112
kc indie,112
judaica,112
italian classical piano,112
glasgow indie,112
future funk,112
dutch indie rock,112
dublin indie,112
deep progressive house,112
deep pop edm,112
classic indo pop,112
canadian modern jazz,112
british indie rock,112
brazilian stoner rock,112
world chill,111
viking metal,111
twin cities indie,111
southern americana,111
opera metal,111
noise punk,111
movie tunes,111
modern string quartet,111
memphis hip hop,111
maine indie,111
jazz double bass,111
israeli rock,111
hindustani vocal,111
hard trance,111
czech hip hop,111
cornetas y tambores,111
boy pop,111
swedish metal,110
san diego indie,110
permanent wave,110
metal guitar,110
medieval rock,110
late romantic era,110
k-rock,110
jazz composition,110
japanese vtuber,110
israeli hip hop,110
finnish black metal,110
dutch jazz,110
city pop,110
celtic rock,110
yacht rock,109
reunion pop,109
psych gaze,109
new jersey indie,109
neo-traditional country,109
muziek voor kinderen,109
musica popular colombiana,109
monterrey indie,109
michigan indie,109
laboratorio,109
indonesian death metal,109
indie canario,109
indian edm,109
hard stoner rock,109
german black metal,109
dark jazz,109
colombian indie,109
classical saxophone quartet,109
carnatic,109
broken beat,109
brazilian blues,109
azonto,109
ambient idm,109
uk dance,108
turkish rock,108
slovak pop,108
punk ska,108
northeast indian indie,108
japanese jazz,108
japanese emo,108
grupera,108
greek hip hop,108
german orchestra,108
german jazz,108
exotica,108
electro jazz,108
downtempo,108
didgeridoo,108
detroit trap,108
denver indie,108
deep swedish rock,108
deep soft rock,108
deep adult standards,108
candy pop,108
burmese pop,108
brazilian punk rock,108
brasilia indie,108
black sludge,108
viral trap,107
unblack metal,107
uk funky,107
ugandan pop,107
turkish classical,107
swiss punk,107
street punk,107
pop house,107
polka,107
polish modern jazz,107
norwegian gospel,107
new tribe,107
new isolationism,107
nerdcore,107
modern jazz trio,107
milwaukee hip hop,107
library music,107
irish pop,107
gregorian chant,107
german metalcore,107
chiptune,107
canadian contemporary country,107
boston hip hop,107
boogie-woogie,107
bay area hip hop,107
bachata dominicana,107
austrian punk,107
australian psych,107
alternative pop rock,107
afghan pop,107
western mass indie,106
uzbek pop,106
ukrainian indie,106
triangle indie,106
trap peruano,106
southern rock,106
rap underground espanol,106
puerto rican indie,106
polish electronica,106
persian hip hop,106
new england metal,106
metal colombiano,106
jazz orchestra,106
japanese jazz fusion,106
instrumental bluegrass,106
icelandic hip hop,106
german baroque,106
florida death metal,106
deep vocal jazz,106
deep tech house,106
czech indie,106
croatian pop,106
colombian hip hop,106
classical piano duo,106
classical bass,106
british brass band,106
bolero,106
big room,106
beach music,106
ambient fusion,106
abstract beats,106
trash rock,105
swiss jazz,105
sega,105
polish alternative rap,105
perreo,105
oxford indie,105
old-time fiddle,105
muzica populara,105
music box,105
miami indie,105
melbourne bounce,105
maskandi,105
korean ost,105
kansai indie,105
japanese singer-songwriter,105
indie emo,105
greek house,105
german alternative rap,105
finnish heavy metal,105
denton tx indie,105
deep symphonic black metal,105
deep funk house,105
czech pop,105
classical clarinet,105
bulgarian hip hop,105
bow pop,105
boston metal,105
australian talent show,105
uk garage,104
tibetan pop,104
stockholm indie,104
shabad,104
post-metal,104
montreal indie,104
horror punk,104
hiplife,104
french jazz,104
dutch death metal,104
dunedin indie,104
classic polish pop,104
british contemporary classical,104
brazilian emo,104
vintage chinese pop,103
ukrainian electronic,103
traditional folk,103
technical deathcore,103
taiwan singer-songwriter,103
swiss rock,103
stomp and whittle,103
south african jazz,103
slovenian pop,103
singaporean indie,103
shiver pop,103
rva indie,103
russian folk metal,103
nz pop,103
nintendocore,103
new wave of osdm,103
new england emo,103
merida indie,103
harp,103
guidance,103
grunge,103
glitch beats,103
geek folk,103
egyptian hip hop,103
deep chill,103
chihuahua indie,103
buffalo ny indie,103
british jazz,103
british country,103
belgian techno,103
alberta country,103
zolo,102
springfield mo indie,102
small room,102
russian underground rap,102
rock chapin,102
musica llanera,102
krautrock,102
jazz drums,102
j-indie,102
italian baroque,102
highlife,102
heartland rock,102
harpsichord,102
gauze pop,102
deep italo disco,102
deep indie rock,102
christian uplift,102
channel pop,102
british soul,102
blues-rock guitar,102
austrian metal,102
afro house,102
acoustic punk,102
world meditation,101
ok indie,101
oakland indie,101
nordnorsk musikk,101
new jersey hardcore,101
modern downshift,101
latin talent show,101
jazz mexicano,101
italian jazz,101
indy indie,101
hungarian folk,101
garage house,101
funk metal,101
field recording,101
deep indie pop,101
baroque pop,101
australian hip hop,101
athens indie,101
uruguayan indie,100
ukrainian metal,100
thrash metal,100
swedish prog,100
spiritual jazz,100
screamocore,100
progressive breaks,100
ottawa indie,100
old school hip hop,100
nederpop,100
mbalax,100
lexington ky indie,100
knoxville indie,100
japanese r&b,100
indie rockism,100
indie cantabria,100
hard chime,100
gruperas inmortales,100
frankfurt electronic,100
deep liquid bass,100
classical harp,100
chinese r&b,100
cante flamenco,100
c64,100
uk diy punk,99
turkish alternative rock,99
romanian trap,99
rap dominicano,99
puerto rican rock,99
nottingham indie,99
neo-trad prog,99
mindfulness,99
kentucky hip hop,99
j-ambient,99
instrumental math rock,99
experimental dubstep,99
electro trash,99
depressive black metal,99
deep melodic death metal,99
deep g funk,99
catalan folk,99
capoeira,99
cambodian pop,99
brazilian death metal,99
west coast rap,98
tzadik,98
tolkien metal,98
swedish punk,98
spanish death metal,98
soukous,98
puglia indie,98
psybreaks,98
neofolk,98
neo honky tonk,98
hauntology,98
gospel singers,98
gospel reggae,98
glitch,98
german oi,98
german choir,98
flamenco urbano,98
fidget house,98
faroese pop,98
eau claire indie,98
drill,98
classic j-pop,98
classic city pop,98
british classical piano,98
brass band,98
yoga,97
soul blues,97
renaissance,97
portland metal,97
new jack smooth,97
manitoba indie,97
louisville indie,97
jazz organ,97
japanese punk rock,97
gothic doom,97
gospel r&b,97
german punk rock,97
florida rap,97
deep soundtrack,97
deep power-pop punk,97
deep breakcore,97
coupe-decale,97
country rap,97
classic cantopop,97
barbershop,97
austropop,97
alte,97
victoria bc indie,96
thai indie,96
talent show,96
southeast asian post-rock,96
ska mexicano,96
shimmer psych,96
