,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
117,1093,Six Boys And Seven Girls,Anita Bryant,2SmscjT9uTbUjVhDSWrq2G,MISSING,0.323,0.264,0,-15.176,1,0.0289,0.807,6.98e-06,0.224,0.232,96.983,155467,3
118,1097,What If I Said,Anita Cochran (Duet With Steve Wariner),4rifGEpBg2TfNYTpDWkNnn,MISSING,0.526,0.393,0,-7.822,1,0.0274,0.395,0,0.172,0.104,124.624,292627,4
119,1120,Cotton Jenny,Anne Murray,7iNxOji8po0OEZJ7clVKII,MISSING,0.666,0.546,4,-5.689,1,0.0305,0.737,8.04e-06,0.154,0.571,119.986,203387,4
120,1123,Day Tripper,Anne Murray,76Kd9WcnUdfP0ePxRqujGa,MISSING,0.793,0.783,8,-9.462,0,0.062,0.121,0.00112,0.103,0.939,130.477,173200,4
121,1127,It's All I Can Do,Anne Murray,2Ru0Z3SgN9EwvL3o1IGs5c,MISSING,0.456,0.336,1,-12.321,0,0.0275,0.198,0,0.134,0.21,137.396,172960,4
122,1137,Talk It Over In The Morning,Anne Murray,0GxsnkXzE6hwwd9HMNMkqh,MISSING,0.604,0.55,6,-10.487,1,0.0436,0.491,0,0.0456,0.933,81.665,150173,4
123,1139,Things,Anne Murray,3x98txCasQ6MhjsbFhFM6m,MISSING,0.672,0.681,2,-8.91,1,0.036,0.034,4.68e-05,0.134,0.909,87.614,168867,4
124,1161,Playground,Another Bad Creation,1rJpT4AoSEMTngT6mSZw36,MISSING,0.788,0.772,1,-11.285,0,0.12,0.113,0,0.95,0.761,110.481,249773,4
125,1176,Secreto,Anuel AA & Karol G,1JqU787EWkq0v9Gs4ES7vS,MISSING,0.807,0.803,11,-4.156,1,0.126,0.6,0.0085,0.136,0.706,91.982,258800,4
126,1180,Whatever You Like,Anya Marina,5qX2ZJoLEyFCTAdaCqUo7s,MISSING,0.663,0.643,5,-4.383,1,0.0316,0.535,0,0.308,0.368,121.97,228907,4
127,1182,Gangsta Bitch,Apache,5242G8xCFpKoUkzvvUKYIL,MISSING,0.873,0.487,7,-14.872,1,0.412,0.141,0,0.269,0.611,97.445,284067,4
128,1189,Sweet And Lovely,April Stevens & Nino Tempo,0UP6oy3I8uPNP3dHwavu1A,MISSING,0.674,0.52,10,-11.83,1,0.0395,0.601,0,0.254,0.871,121.912,177533,4
129,1190,Enough Is Enough,April Wine,2N6UO8dx5jlTJSZqHXowFy,MISSING,0.587,0.74,0,-12.05,1,0.0383,0.406,0.000219,0.0676,0.729,138.894,244667,4
130,1191,I Like To Rock,April Wine,5owtIhXEvmWKOIDdAkCEU4,MISSING,0.455,0.646,9,-11.92,1,0.0328,0.0155,0.00283,0.0422,0.672,135.431,262800,4
131,1192,Just Between You And Me,April Wine,4ubP3X72lADwGkwivA0bIw,MISSING,0.527,0.518,0,-7.112,1,0.0243,0.164,1.43e-05,0.169,0.438,83.439,233960,4
132,1193,Roller,April Wine,7ImqLXk9SgUjg6eaWfDU3b,MISSING,0.432,0.903,9,-4.857,1,0.0868,0.00247,0.00539,0.135,0.655,140.801,217027,4
